Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"9,85971541118582E-05","-0,0715655546706883","-0,598500849362795",0,0,0,"8,75975954543827","0,0688292644744636","3,62754647397863E-05","-1,10735519256523E-05","0,0655255312350463","-0,00167849965494792","0,0531637552221677",0,0,0,0,0,0,package://Girdap/meshes/base_link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://Girdap/meshes/base_link.STL,,Girdap Güverte-1;Güverte Kapak-1;Gövde-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
kamera_link,"0,000506558960936636","-0,00990955896460521","-0,00766250562193904",0,0,0,"0,0407155106171239","1,005150383713E-05","5,47812124655946E-09","3,91397519017976E-08","2,65392753535241E-05","-3,21805335336149E-07","3,40770222088154E-05",0,0,0,0,0,0,package://Girdap/meshes/kamera_link.STL,"0,592156862745098","0,666666666666667","0,682352941176471",1,0,0,0,0,0,0,package://Girdap/meshes/kamera_link.STL,,Stereo kamera (OAK-D Lite) - OAK-D-parts-14sep2020.stp-3,Origin_kamera_link,,kamera_link,fixed,"-0,0018388","0,258","0,075623","1,5708",0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_link,"0,516118435756135","0,164321958385845","-6,35667019630687E-06",0,0,0,"0,141887342965566","4,17977384459599E-05","-3,05328884182171E-07","5,52613324143589E-09","6,87998236856538E-05","-4,39952236199982E-10","4,50773277349344E-05",0,0,0,0,0,0,package://Girdap/meshes/lidar_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Girdap/meshes/lidar_link.STL,,LiDAR sensör - mid-360-asm-1,Origin_lidar_link,,lidar_link,fixed,0,0,0,"1,5708",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
buton_link,"0,0185002243779769","0,0149997200530561","0,0328204874793562",0,0,0,"0,0588232194922118","2,99686739066378E-05","-4,51413675267062E-09","-5,10205957438581E-10","3,11576315400281E-05","6,36447441474456E-10","8,87462045184843E-06",0,0,0,0,0,0,package://Girdap/meshes/buton_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Girdap/meshes/buton_link.STL,,RC PWM röle - E-SWITCH v1.step-1,Origin_buton_link,,buton_link,fixed,"-0,0185","0,84489","0,063612",0,0,0,base_link,0,0,0,,,,,,,,,,,,
gps_link,"0,000339575962859273","0,00498340400536437","-2,59388401063765E-07",0,0,0,"0,57303411708247","0,000699084421040958","2,67173790660909E-06","-2,75618934635389E-09","0,00122652348335515","-1,60413205072803E-10","0,000694026697272567",0,0,0,0,0,0,package://Girdap/meshes/gps_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Girdap/meshes/gps_link.STL,,RTK GPS (Holybro H-RTK F9P) - holybro-h-rtk-f9p-rover-gps-anten-1;GPS Tutucu-1,Origin_gps_link,,gps_link,fixed,"-0,12636","0,89602","0,1677","1,5708",0,"-1,6347",base_link,0,0,0,,,,,,,,,,,,
lthruster_link,"-0,000132048328493006","0,118033700609347","0,000313889023872194",0,0,0,"0,041717172701853","0,000335302047453241","1,36011211640386E-09","1,41376483974843E-09","3,42307724707207E-06","-4,96190519878195E-10","0,000335301932369313",0,0,0,0,0,0,package://Girdap/meshes/lthruster_link.STL,"0,866666666666667","0,909803921568627",1,1,0,0,0,0,0,0,package://Girdap/meshes/lthruster_link.STL,,Pervane1-2,Origin_lthruster_link,,lthruster_link,fixed,"0,29322","0,99056","-0,21207","1,5708","-0,7854","1,5708",base_link,0,0,0,,,,,,,,,,,,
rthruster_link,"-0,000132048326732304","0,118033700645791","0,000313889023688285",0,0,0,"0,0417171726907254","0,000335302047452512","1,36011254997779E-09","1,41376479036767E-09","3,42307724659588E-06","-4,96190571906295E-10","0,000335301932368767",0,0,0,0,0,0,package://Girdap/meshes/rthruster_link.STL,"0,866666666666667","0,909803921568627",1,1,0,0,0,0,0,0,package://Girdap/meshes/rthruster_link.STL,,Pervane1-1,Origin_rthruster_link,,rthruster_link,fixed,"-0,30031","0,99056","-0,21207","1,5708","-0,7854","1,5708",base_link,0,0,0,,,,,,,,,,,,
